FIPS,County,State,Longitude,Latitude,Population,cases
9110,Capitol,Connecticut,-72.572,41.8185,969029,0
13135,Gwinnett,Georgia,-84.0236,33.9619,966972,0
12103,Pinellas,Florida,-82.7255,27.9198,960565,0
24033,Prince George's,Maryland,-76.8473,38.8295,955584,2
34003,Bergen,New Jersey,-74.0742,40.9597,954717,3
36029,Erie,New York,-78.7323,42.7639,950044,0
48121,Denton,Texas,-97.1168,33.2055,945644,0
55079,Milwaukee,Wisconsin,-87.9669,43.0072,927656,0
17043,DuPage,Illinois,-88.0856,41.852,927263,0
53053,Pierce,Washington,-122.104,47.0239,924106,0
47157,Shelby,Tennessee,-89.8938,35.1843,922195,0
